song|artist|year|genre|numUnique|totalWords|love_words|god_words|dance_words|cool_words|rock_words|swear_words|family_words|baby_words|money_words|funky_words|chill_words|cw1|cwc1|cw2|cwc2|cw3|cwc3|cw4|cwc4|cw5|cwc5|cw6|cwc6|cw7|cwc7|cw8|cwc8|cw9|cwc9|cw10|cwc10
Magic|Bruce Springsteen|2007|rock|83|286|0|0|1|0|0|0|0|0|0|0|0|hear|12|anybody|11|alive|11|rhythm|11|radio|8|nowhere|8|trying|2|searching|2|find|1|way|1
Magic|Bruce Springsteen|2007|rock|129|278|0|0|0|0|0|0|0|4|1|0|0|coming|12|around|8|pretty|4|baby|4|goes|4|comes|4|blue|3|grey|2|skies|2|gone|2
Magic|Bruce Springsteen|2007|rock|140|399|0|0|0|0|0|0|0|6|0|0|0|none|10|happened|10|yet|10|worry|6|darling|6|baby|6|fret|6|living|6|future|6|away|3
Magic|Bruce Springsteen|2007|rock|99|218|0|0|0|0|0|0|1|1|0|0|0|worst|10|enemy|10|ah|9|town|7|everything|3|dream|2|round|2|falling|2|sleep|1|night|1
Magic|Bruce Springsteen|2007|rock|149|272|1|0|0|0|0|0|2|0|1|0|0|home|5|gypsy|4|biker|4|coming|4|pulled|2|nobody|2|talking|2|back|2|gone|2|old|2
Magic|Bruce Springsteen|2007|rock|141|349|1|0|1|4|0|4|0|0|1|0|0|girls|8|summer|8|clothes|8|evening|5|light|5|cool|4|pass|4|lights|3|street|2|two|2
Magic|Bruce Springsteen|2007|rock|120|291|11|0|0|0|0|0|0|0|0|0|0|work|11|love|11|others|5|may|5|free|5|watch|3|dear|3|dust|2|bones|2|like|2
Magic|Bruce Springsteen|2007|rock|101|236|0|0|0|0|0|0|0|0|1|0|0|got|5|ear|3|see|3|slip|3|gone|3|trust|2|none|2|hear|2|cut|2|half|2
Magic|Bruce Springsteen|2007|rock|119|285|0|0|0|0|0|1|0|0|0|0|0|last|12|mistake|11|whose|6|blood|4|heart|4|spill|3|break|3|voice|2|city|2|faces|2
Magic|Bruce Springsteen|2007|rock|132|357|0|0|0|0|0|1|2|0|0|0|0|long|16|walk|16|home|16|gon|15|hey|7|pretty|7|darling|7|wait|7|town|3|everybody|3
Magic|Bruce Springsteen|2007|rock|140|280|0|0|0|1|0|0|0|0|0|0|0|beat|8|heart|8|morning|3|devil|3|heroes|3|sun|2|get|2|arcade|2|made|2|somebody|2
Magic|Bruce Springsteen|2007|rock|136|261|1|1|0|0|0|0|6|0|0|0|0|built|9|brother|6|broke|5|mold|5|know|3|death|3|many|2|something|2|gone|2|cold|2
Talk Talk Talk|The Psychedelic Furs|1981|rock|86|188|0|0|0|0|0|0|1|0|0|0|0|give|5|paper|4|got|4|mean|4|yeah|3|honestly|3|tell|3|something|2|coming|2|get|2
Talk Talk Talk|The Psychedelic Furs|1981|rock|108|224|2|0|0|0|0|0|0|0|0|0|0|pretty|7|pink|7|lives|2|nothing|2|says|2|joke|2|lovers|2|loves|1|girls|1|place|1
Talk Talk Talk|The Psychedelic Furs|1981|rock|95|199|0|1|0|0|0|0|0|0|0|0|0|sleep|9|wan|3|got|3|like|2|go|2|goes|1|flats|1|know|1|making|1|see|1
Talk Talk Talk|The Psychedelic Furs|1981|rock|55|124|0|0|0|0|0|0|0|0|0|0|0|conversation|4|talk|4|anything|3|tears|3|colours|3|listen|2|weathermen|2|saying|2|point|2|view|2
Talk Talk Talk|The Psychedelic Furs|1981|rock|99|207|0|0|3|0|0|1|0|0|0|0|0|turn|6|far|4|mr|4|jones|4|good|3|slow|3|movie|3|stars|3|ads|3|radio|3
Talk Talk Talk|The Psychedelic Furs|1981|rock|74|253|5|0|0|0|0|0|0|0|0|0|0|like|17|train|13|love|5|anyone|5|fall|4|believe|4|within|4|song|4|wan|3|make|3
Talk Talk Talk|The Psychedelic Furs|1981|rock|100|225|1|1|0|0|0|0|2|0|0|0|0|goes|15|time|3|calls|3|around|3|rains|2|go|2|laugh|1|cars|1|easily|1|confused|1
Talk Talk Talk|The Psychedelic Furs|1981|rock|81|194|3|0|0|0|0|0|0|0|0|0|0|day|7|run|5|get|4|talk|4|think|3|stand|3|oh|3|hand|3|coming|3|sells|3
Talk Talk Talk|The Psychedelic Furs|1981|rock|102|280|0|0|0|0|0|0|0|0|0|0|0|leave|6|anything|6|understand|6|hey|5|never|5|meant|5|stuff|5|turn|5|full|4|round|3
Talk Talk Talk|The Psychedelic Furs|1981|rock|108|281|1|0|1|0|0|0|0|0|0|0|0|making|5|stay|4|get|4|use|4|crazy|3|place|3|called|3|tunes|2|away|2|pay|2
It's a Wonderful Life|Sparklehorse|2001|rock|39|82|0|0|0|0|0|0|1|0|0|0|0|wonderful|7|life|7|ride|1|horse|1|th|1|yonder|1|full|1|bees|1|died|1|wore|1
It's a Wonderful Life|Sparklehorse|2001|rock|65|183|0|0|0|0|0|0|0|0|0|0|0|child|8|may|6|days|6|gold|6|sun|3|keep|3|crows|3|away|3|hold|3|skinny|3
It's a Wonderful Life|Sparklehorse|2001|rock|60|110|0|0|0|0|0|0|0|0|0|0|0|feel|4|seem|3|got|2|sunburnt|2|waiting|2|jets|2|see|2|solid|2|marble|2|eyes|2
It's a Wonderful Life|Sparklehorse|2001|rock|42|76|0|0|0|0|0|0|0|0|0|0|0|feel|2|taste|2|stars|2|always|2|hang|2|summer|2|bleeding|2|fang|2|forever|2|boil|2
It's a Wonderful Life|Sparklehorse|2001|rock|58|100|0|0|0|0|0|0|0|0|0|0|0|please|4|feel|3|sun|3|doctor|2|would|1|heed|1|advice|1|burdened|1|limbs|1|weight|1
It's a Wonderful Life|Sparklehorse|2001|rock|66|180|0|0|0|0|0|0|0|0|0|0|0|nails|6|sink|4|shine|4|sun|3|toothless|2|kiss|2|skeletons|2|summer|2|hail|2|king|2
It's a Wonderful Life|Sparklehorse|2001|rock|65|132|0|0|0|0|0|0|0|0|0|0|0|return|2|day|2|bones|2|clay|2|buried|2|nails|2|hair|2|old|2|tooth|2|believe|2
It's a Wonderful Life|Sparklehorse|2001|rock|81|205|0|0|0|0|0|0|0|0|0|0|0|got|11|coming|8|pitchfork|6|crowbar|6|hot|6|tar|6|clawhammer|4|get|3|ought|2|claw|2
It's a Wonderful Life|Sparklehorse|2001|rock|110|159|0|0|0|0|0|1|1|0|0|0|0|left|2|pony|2|river|2|coast|1|rushed|1|brine|1|rings|1|shoreline|1|lose|1|swimming|1
It's a Wonderful Life|Sparklehorse|2001|rock|36|94|0|0|0|0|0|1|0|3|0|0|0|got|3|dragged|3|donkey|3|myrtle|3|little|3|fat|3|baby|3|burn|2|christmas|2|tree|2
It's a Wonderful Life|Sparklehorse|2001|rock|27|66|0|0|0|0|0|0|0|0|0|0|0|mountain|4|high|4|would|3|devil|3|new|3|pulled|1|heart|1|left|1|sun|1|spy|1
It's a Wonderful Life|Sparklehorse|2001|rock|56|155|0|0|0|0|1|0|1|0|0|0|0|comfort|12|dreamed|2|rocks|1|dress|1|smoke|1|hair|1|walked|1|lake|1|get|1|sleep|1
It's a Wonderful Life|Sparklehorse|2001|rock|32|85|0|0|0|0|0|0|0|6|0|0|0|sun|11|babies|6|sound|1|voice|1|rose|1|graves|1|cats|1|pounding|1|steps|1|woke|1
It's a Wonderful Life|Sparklehorse|2001|rock|60|96|0|0|0|0|0|0|0|0|0|0|0|get|2|room|2|run|2|fields|2|anymore|2|trembling|1|getting|1|old|1|smelling|1|burnt|1
It's a Wonderful Life|Sparklehorse|2001|rock|61|207|0|0|2|0|0|0|0|0|0|0|0|ghost|21|sky|21|see|2|blind|2|behold|2|saviour|2|dance|2|death|2|lame|2|morning|2
Bakesale|Sebadoh|1994|rock|96|204|0|0|0|0|0|0|0|0|0|0|0|license|6|got|5|confuse|5|help|3|break|2|fall|2|lose|2|took|2|another|2|day|2
Bakesale|Sebadoh|1994|rock|70|134|0|1|0|0|0|1|0|0|0|0|0|time|4|never|4|careful|3|soldier|3|strong|3|show|2|prove|2|right|2|beside|2|twice|2
Bakesale|Sebadoh|1994|rock|93|162|0|0|0|0|0|2|0|0|0|0|0|mind|4|really|2|lose|2|say|2|another|2|wound|1|tighter|1|magnet|1|coil|1|longer|1
Bakesale|Sebadoh|1994|rock|77|176|0|0|0|0|0|0|0|0|0|0|0|never|4|trust|4|forgive|4|break|4|stride|4|far|3|friend|3|day|2|somehow|2|may|2
Bakesale|Sebadoh|1994|rock|73|123|0|0|0|0|0|1|0|0|0|0|0|make|2|way|2|go|2|like|2|feel|2|sense|1|see|1|almost|1|tired|1|listening|1
Bakesale|Sebadoh|1994|rock|67|94|0|0|1|0|0|0|0|0|0|0|0|twisted|2|something|2|wrong|2|someone|2|died|2|opened|2|eyes|2|learn|1|humility|1|planes|1
