song|artist|year|genre|numUnique|totalWords|love_words|god_words|dance_words|cool_words|rock_words|swear_words|family_words|baby_words|money_words|funky_words|chill_words|cw1|cwc1|cw2|cwc2|cw3|cwc3|cw4|cwc4|cw5|cwc5|cw6|cwc6|cw7|cwc7|cw8|cwc8|cw9|cwc9|cw10|cwc10
Machine Head|Deep Purple|1972|rock|86|286|4|0|0|0|0|0|0|0|0|0|0|gon|13|nobody|8|everything|8|highway|6|star|6|got|5|car|4|ooh|4|like|4|love|4
Machine Head|Deep Purple|1972|rock|62|92|0|0|0|0|0|0|0|0|0|0|0|maybe|3|wish|2|creeping|1|round|1|got|1|big|1|surprise|1|see|1|thing|1|open|1
Machine Head|Deep Purple|1972|rock|84|143|0|0|0|0|0|0|1|0|0|0|0|body|4|alone|3|emptiness|3|eagles|3|snow|3|unfriendliness|3|chilling|3|pictures|3|home|3|somebody|1
Machine Head|Deep Purple|1972|rock|73|155|0|0|0|0|0|0|0|0|0|0|0|never|9|somebody|4|woman|3|help|3|please|3|friend|3|felt|3|bad|3|funny|2|took|2
Machine Head|Deep Purple|1972|rock|111|202|0|0|0|0|0|0|0|0|0|1|0|smoke|6|water|6|place|4|fire|3|sky|3|time|2|burned|2|ground|2|running|2|know|2
Machine Head|Deep Purple|1972|rock|43|124|0|0|0|0|0|0|0|0|2|0|0|lazy|4|stay|4|bed|4|money|2|bread|2|drowning|2|clutch|2|straw|2|done|2|good|2
Machine Head|Deep Purple|1972|rock|87|247|0|0|1|0|2|0|0|0|0|0|0|yeah|25|space|16|truckin|16|let|4|go|4|way|3|around|3|got|3|rocked|2|milky|2
Machine Head|Deep Purple|1972|rock|78|133|0|0|0|0|0|0|1|0|0|0|0|blind|6|room|3|cries|2|lord|2|know|2|cold|2|leaving|1|close|1|expecting|1|people|1
Machine Head|Deep Purple|1972|rock|43|113|0|0|0|0|0|0|0|0|2|0|0|lazy|3|stay|3|bed|3|money|2|drowning|2|clutch|2|straw|2|done|2|good|2|bread|1
Machine Head|Deep Purple|1972|rock|43|73|0|0|0|0|0|0|0|0|0|0|0|lucille|4|back|3|belong|3|nothing|2|sing|2|beautiful|2|oh|1|song|1|woke|1|morning|1
Call Me|Al Green|1973|r&b|82|219|5|0|0|0|0|0|0|3|0|0|0|call|14|home|7|back|6|love|5|time|3|yeah|3|day|3|work|3|baby|3|oh|3
Call Me|Al Green|1973|r&b|72|222|0|0|0|0|0|0|0|4|0|0|0|making|15|okay|14|wan|6|know|6|hey|4|baby|4|make|3|girl|2|would|2|stopped|2
Call Me|Al Green|1973|r&b|115|270|0|0|0|0|0|0|0|1|0|0|0|stand|17|hey|14|today|6|everybody|5|know|4|tell|3|got|3|oh|3|identify|2|promised|2
Call Me|Al Green|1973|r&b|85|236|0|0|0|0|0|0|0|2|0|0|0|cry|19|could|13|lonesome|8|oh|7|wonder|6|see|3|ever|2|feel|2|let|2|said|2
Call Me|Al Green|1973|r&b|68|145|10|0|0|0|0|0|0|0|0|0|0|love|10|place|5|morning|3|sun|3|shining|3|brightly|3|never|3|look|2|know|2|missing|2
Call Me|Al Green|1973|r&b|108|329|7|0|0|0|0|0|0|14|0|0|0|baby|14|hey|6|love|5|hand|5|make|3|troubles|3|yeah|3|show|3|believe|2|way|2
Call Me|Al Green|1973|r&b|87|292|2|0|0|0|0|0|0|4|0|0|0|time|20|funny|19|slips|8|away|8|told|7|thing|6|remember|5|oh|4|know|4|baby|4
Call Me|Al Green|1973|r&b|91|205|2|0|0|0|0|0|1|1|0|0|0|ought|6|yeah|3|thinking|2|bout|2|love|2|see|2|hey|2|waste|2|time|2|friend|2
Call Me|Al Green|1973|r&b|88|254|2|7|0|0|0|0|0|0|0|0|0|thank|10|help|10|hey|9|jesus|7|sorry|7|waiting|6|good|4|say|3|know|2|love|2
The Idler Wheel…|Fiona Apple|2012|pop|122|316|0|0|0|0|0|1|1|0|0|0|0|brain|7|wan|7|feel|7|everything|7|every|6|single|6|night|5|get|3|cause|3|gon|3
The Idler Wheel…|Fiona Apple|2012|pop|102|231|0|0|0|0|0|0|0|0|0|0|0|let|6|give|5|look|5|hip|4|ruin|3|may|3|need|3|chaperone|3|anything|2|caught|2
