album|track|artist|year|id|reasonFail
Double Negative|7|Low|2018|6022|too_few_lyrics
Exit Planet Dust|2|The Chemical Brothers|1995|946|too_few_lyrics
Exit Planet Dust|3|The Chemical Brothers|1995|946|too_few_lyrics
Exit Planet Dust|4|The Chemical Brothers|1995|946|too_few_lyrics
Exit Planet Dust|6|The Chemical Brothers|1995|946|too_few_lyrics
Exit Planet Dust|7|The Chemical Brothers|1995|946|too_few_lyrics
Exit Planet Dust|8|The Chemical Brothers|1995|946|too_few_lyrics
Exit Planet Dust|10|The Chemical Brothers|1995|946|too_few_lyrics
The Famous 1938 Carnegie Hall Jazz Concert|1|Benny Goodman|1950|1756|too_few_lyrics
The Famous 1938 Carnegie Hall Jazz Concert|2|Benny Goodman|1950|1756|too_few_lyrics
The Famous 1938 Carnegie Hall Jazz Concert|3|Benny Goodman|1950|1756|too_few_lyrics
The Famous 1938 Carnegie Hall Jazz Concert|7|Benny Goodman|1950|1756|too_few_lyrics
The Famous 1938 Carnegie Hall Jazz Concert|8|Benny Goodman|1950|1756|too_few_lyrics
The Famous 1938 Carnegie Hall Jazz Concert|11|Benny Goodman|1950|1756|too_few_lyrics
The Famous 1938 Carnegie Hall Jazz Concert|14|Benny Goodman|1950|1756|too_few_lyrics
The Famous 1938 Carnegie Hall Jazz Concert|17|Benny Goodman|1950|1756|too_few_lyrics
The Famous 1938 Carnegie Hall Jazz Concert|21|Benny Goodman|1950|1756|too_few_lyrics
The Famous 1938 Carnegie Hall Jazz Concert|22|Benny Goodman|1950|1756|too_few_lyrics
The Famous 1938 Carnegie Hall Jazz Concert|23|Benny Goodman|1950|1756|too_few_lyrics
A Christmas Gift for You from Philles Records/Phil Spector|0|Various Artists|1963|18|not_found
The Köln Concert|1|Keith Jarrett|1975|2018|too_few_lyrics
The Köln Concert|2|Keith Jarrett|1975|2018|too_few_lyrics
The Köln Concert|3|Keith Jarrett|1975|2018|too_few_lyrics
The Köln Concert|4|Keith Jarrett|1975|2018|too_few_lyrics
Summertime '06|1|Vince Staples|2015|5553|too_few_lyrics
Xtrmntr|6|Primal Scream|2000|1083|too_few_lyrics
Xtrmntr|9|Primal Scream|2000|1083|too_few_lyrics
Juju Music|1|King Sunny Adé|1982|2037|too_few_lyrics
Juju Music|2|King Sunny Adé|1982|2037|too_few_lyrics
Juju Music|3|King Sunny Adé|1982|2037|too_few_lyrics
Juju Music|4|King Sunny Adé|1982|2037|too_few_lyrics
Juju Music|5|King Sunny Adé|1982|2037|too_few_lyrics
Juju Music|7|King Sunny Adé|1982|2037|too_few_lyrics
Bandwagonesque|2|Teenage Fanclub|1991|817|too_few_lyrics
Bandwagonesque|12|Teenage Fanclub|1991|817|too_few_lyrics
Midnight Marauders|15|A Tribe Called Quest|1993|899|too_few_lyrics
Elvis|11|Elvis Presley|1956|16|too_few_lyrics
Kill for Love|7|Chromatics|2012|5197|too_few_lyrics
Kill for Love|9|Chromatics|2012|5197|too_few_lyrics
Kill for Love|11|Chromatics|2012|5197|too_few_lyrics
