album|track|artist|year|id|reasonFail
Heavy Weather|1|Weather Report|1977|2025|too_few_lyrics
Heavy Weather|2|Weather Report|1977|2025|too_few_lyrics
Heavy Weather|4|Weather Report|1977|2025|too_few_lyrics
Heavy Weather|6|Weather Report|1977|2025|too_few_lyrics
Heavy Weather|7|Weather Report|1977|2025|too_few_lyrics
Heavy Weather|8|Weather Report|1977|2025|too_few_lyrics
This Is Hardcore|17|Pulp|1998|1028|too_few_lyrics
EVOL|6|Sonic Youth|1986|1511|too_few_lyrics
Fire and Water|8|Free|1970|1131|too_few_lyrics
Fire and Water|9|Free|1970|1131|too_few_lyrics
Fire and Water|10|Free|1970|1131|too_few_lyrics
Fire and Water|11|Free|1970|1131|too_few_lyrics
Fire and Water|13|Free|1970|1131|too_few_lyrics
Arrival|10|ABBA|1976|380|too_few_lyrics
Mr. Fantasy|10|Traffic|1967|109|too_few_lyrics
The Incredible Jazz Guitar of Wes Montgomery|1|Wes Montgomery|1960|1886|too_few_lyrics
The Incredible Jazz Guitar of Wes Montgomery|2|Wes Montgomery|1960|1886|too_few_lyrics
The Incredible Jazz Guitar of Wes Montgomery|3|Wes Montgomery|1960|1886|too_few_lyrics
The Incredible Jazz Guitar of Wes Montgomery|4|Wes Montgomery|1960|1886|too_few_lyrics
The Incredible Jazz Guitar of Wes Montgomery|5|Wes Montgomery|1960|1886|too_few_lyrics
The Incredible Jazz Guitar of Wes Montgomery|6|Wes Montgomery|1960|1886|too_few_lyrics
The Incredible Jazz Guitar of Wes Montgomery|7|Wes Montgomery|1960|1886|too_few_lyrics
The Incredible Jazz Guitar of Wes Montgomery|8|Wes Montgomery|1960|1886|too_few_lyrics
Rhythm Nation 1814|7|Janet Jackson|1989|3261|too_few_lyrics
Rhythm Nation 1814|9|Janet Jackson|1989|3261|too_few_lyrics
Rhythm Nation 1814|15|Janet Jackson|1989|3261|too_few_lyrics
The Sidewinder|1|Lee Morgan|1964|1935|too_few_lyrics
The Sidewinder|2|Lee Morgan|1964|1935|too_few_lyrics
The Sidewinder|3|Lee Morgan|1964|1935|too_few_lyrics
The Sidewinder|4|Lee Morgan|1964|1935|too_few_lyrics
The Sidewinder|5|Lee Morgan|1964|1935|too_few_lyrics
Ambient 1: Music for Airports|1|Brian Eno|1978|1163|too_few_lyrics
Ambient 1: Music for Airports|2|Brian Eno|1978|1163|too_few_lyrics
Ambient 1: Music for Airports|3|Brian Eno|1978|1163|too_few_lyrics
Ambient 1: Music for Airports|4|Brian Eno|1978|1163|too_few_lyrics
Aenima|4|Tool|1996|3618|too_few_lyrics
Aenima|8|Tool|1996|3618|too_few_lyrics
Aenima|12|Tool|1996|3618|too_few_lyrics
Aenima|14|Tool|1996|3618|too_few_lyrics
The Glow, Pt. 2|6|The Microphones|2001|3883|too_few_lyrics
The Glow, Pt. 2|8|The Microphones|2001|3883|too_few_lyrics
The Glow, Pt. 2|9|The Microphones|2001|3883|too_few_lyrics
The Glow, Pt. 2|17|The Microphones|2001|3883|too_few_lyrics
Replica|1|Oneohtrix Point Never|2011|5163|too_few_lyrics
Replica|2|Oneohtrix Point Never|2011|5163|too_few_lyrics
Replica|3|Oneohtrix Point Never|2011|5163|too_few_lyrics
Replica|5|Oneohtrix Point Never|2011|5163|too_few_lyrics
Replica|7|Oneohtrix Point Never|2011|5163|too_few_lyrics
Replica|10|Oneohtrix Point Never|2011|5163|too_few_lyrics
Concert by the Sea|1|Erroll Garner|1956|1783|too_few_lyrics
Concert by the Sea|2|Erroll Garner|1956|1783|too_few_lyrics
Concert by the Sea|3|Erroll Garner|1956|1783|too_few_lyrics
Concert by the Sea|4|Erroll Garner|1956|1783|too_few_lyrics
Concert by the Sea|5|Erroll Garner|1956|1783|too_few_lyrics
Concert by the Sea|6|Erroll Garner|1956|1783|too_few_lyrics
Concert by the Sea|7|Erroll Garner|1956|1783|too_few_lyrics
Concert by the Sea|8|Erroll Garner|1956|1783|too_few_lyrics
Concert by the Sea|9|Erroll Garner|1956|1783|too_few_lyrics
Concert by the Sea|10|Erroll Garner|1956|1783|too_few_lyrics
Selling England by the Pound|6|Genesis|1973|1241|too_few_lyrics
Song Cycle|8|Van Dyke Parks|1967|1306|too_few_lyrics
