song,artist,year,genre,numUnique,totalWords,love_words,god_words,dance_words,cool_words,rock_words,swear_words,cw1,cwc1,cw2,cwc2,cw3,cwc3,cw4,cwc4,cw5,cwc5
Respect,Aretha Franklin,1967,r&b,88,384,0,0,0,0,0,0,little,27,bit,22,home,9,sock,8,respect,7
Be My Baby,The Ronettes,1963,r&b,68,287,1,0,0,0,0,0,baby,29,oh,24,say,4,little,4,whoa,4
What's Going On,Marvin Gaye,1971,r&b,111,469,3,0,0,0,0,0,boo,29,going,15,brother,11,right,11,woo,10
I Heard It Through the Grapevine,Marvin Gaye,1968,r&b,113,343,3,0,0,0,0,0,heard,13,grapevine,13,yeah,12,much,9,would,9
(I Can't Get No) Satisfaction,The Rolling Stones,1965,rock,78,304,0,0,0,0,0,0,get,20,try,12,satisfaction,9,hey,9,cause,5
Billie Jean,Michael Jackson,1982,r&b,146,634,10,0,3,0,0,0,hee,22,billie,13,jean,13,oh,13,lover,9
Heartbreak Hotel,Elvis Presley,1956,rock,83,241,0,0,0,0,0,0,lonely,18,well,10,baby,7,could,5,get,4
Born to Run,Bruce Springsteen,1975,rock,192,355,3,0,0,0,0,0,baby,7,run,6,oh,4,tramps,4,like,4
My Generation,The Who,1965,rock,56,309,0,0,0,0,0,0,generation,43,talkin,26,bout,26,g,6,baby,5
Love Will Tear Us Apart,Joy Division,1980,rock,86,157,16,0,0,0,0,0,love,16,tear,8,apart,8,us,6,routine,1
God Only Knows,The Beach Boys,1966,rock,56,315,1,21,0,0,0,0,god,21,knows,21,without,16,bow,11,buh,10
(Sittin' On) The Dock of the Bay,Otis Redding,1968,r&b,89,202,0,0,0,0,0,0,sittin,7,dock,7,bay,7,roll,5,watching,4
Hey Ya!,OutKast,2003,hip hop,146,520,2,1,1,4,0,0,oh,30,hey,28,uh,23,shake,18,right,17
Anarchy in the U.K.,Sex Pistols,1976,rock,78,171,0,0,0,0,0,0,wan,7,anarchy,7,use,4,know,3,get,3
Paper Planes,M.I.A.,2007,pop,114,432,0,0,0,0,0,0,wan,12,money,12,like,9,get,6,making,4
London Calling,The Clash,1979,rock,129,283,0,0,0,0,0,0,london,14,calling,11,ice,3,age,3,coming,3
Sympathy for the Devil,The Rolling Stones,1968,rock,167,472,0,1,0,0,0,1,hoo,28,yeah,14,ooo,14,ah,8,meet,6
Strawberry Fields Forever,The Beatles,1967,rock,74,212,0,0,0,0,0,0,strawberry,10,fields,10,nothing,8,forever,6,think,5
Tutti Frutti,Little Richard,1955,rock,52,276,3,0,0,0,2,0,frutti,25,oh,25,rooty,25,b,11,girl,7
Stairway to Heaven,Led Zeppelin,1971,rock,163,367,0,0,0,0,1,0,ooh,6,makes,5,wonder,5,stairway,4,know,4
The Message,Grandmaster Flash and The Furious Five,1982,hip hop,420,1241,0,3,2,2,0,4,huh,24,like,20,sometimes,14,keep,14,jungle,13
What'd I Say,Ray Charles,1959,blues,83,536,1,0,0,0,0,0,alright,31,baby,22,feel,22,hey,21,make,17
Imagine,John Lennon,1971,rock,70,143,0,0,0,0,0,1,imagine,6,us,4,people,3,world,3,living,2
A Change Is Gonna Come,Sam Cooke,1964,r&b,82,194,0,0,0,0,0,0,long,9,oh,5,know,5,time,4,comin,4
"Heroes",David Bowie,1977,rock,78,279,0,0,0,0,0,0,day,10,oh,10,nothing,9,heroes,9,could,6
When Doves Cry,Prince,1984,r&b,103,396,0,0,0,0,0,0,yeah,24,cry,20,doves,15,maybe,12,like,11
Superstition,Stevie Wonder,1972,r&b,78,171,0,0,0,0,0,2,superstitious,5,things,5,way,4,believe,3,understand,3
Common People,Pulp,1995,rock,194,616,0,0,2,1,0,0,common,23,people,23,like,17,wan,15,never,14
Gimme Shelter,The Rolling Stones,1969,rock,61,249,1,0,0,0,0,0,away,28,shot,19,kiss,7,ooh,6,yeah,6
Strange Fruit,Billie Holiday,1939,jazz,58,94,0,0,0,0,0,0,strange,3,fruit,3,southern,2,trees,2,blood,2
You Really Got Me,The Kinks,1964,rock,39,247,0,0,0,0,0,1,got,29,really,19,yeah,7,sleep,6,night,6
Crazy in Love,Beyoncé,2003,pop,216,893,21,0,0,0,0,0,oh,89,got,41,crazy,34,looking,33,right,26
Seven Nation Army,The White Stripes,2003,rock,109,204,0,0,0,0,0,1,gon,5,back,5,comin,4,bleedin,3,right,2
Losing My Religion,R.E.M.,1991,rock,94,298,0,0,0,0,0,0,thought,9,said,7,dream,7,heard,6,oh,5
God Save the Queen,Sex Pistols,1977,rock,74,207,2,11,0,0,0,0,future,19,god,11,save,8,queen,8,mean,3
Bohemian Rhapsody,Queen,1975,rock,162,393,2,0,0,0,0,0,go,15,let,12,really,5,ooh,5,never,5
Blue Monday,New Order,1983,rock,92,194,0,0,0,0,0,0,feel,7,tell,6,thought,5,grows,5,cold,5
Purple Haze,Jimi Hendrix,1967,rock,72,137,0,0,0,0,0,0,purple,5,haze,4,help,4,know,3,yeah,2
Louie Louie,The Kingsmen,1963,rock,82,206,1,0,0,0,0,1,louie,16,yeah,15,oh,9,got,9,go,9
I Want You Back,The Jackson 5,1969,r&b,112,387,5,0,0,0,0,0,buh,20,baby,16,back,13,let,12,oh,11
Crazy,Gnarls Barkley,2006,hip hop,101,216,0,0,0,0,0,0,crazy,9,think,6,remember,4,like,4,make,3
You've Lost That Lovin' Feelin',The Righteous Brothers,1964,rock,100,285,8,0,0,0,0,0,lovin,12,baby,11,feelin,11,gone,11,oh,8
Hey Jude,The Beatles,1968,rock,96,560,0,0,0,1,0,2,jude,43,hey,27,yeah,18,make,12,better,12
